stage_no,date,departure,arrival,profile_type,finish_type,rider_rank,rider,rider_slug,model_score,projected_scorito_points,expected_finish_low,expected_finish_high,confidence,uncertainty,role_assumption,specialty_score,ranking_score,historical_similarity_score,recent_profile_evidence_score,recent_course_evidence_score,role_factor,evidence
1,22 August 2026,Monaco,Monaco,itt,tt,1,POGAČAR Tadej,tadej-pogacar,1.06256,34.93,1,4,0.9,medium,inferred protected option,0.8882,0.7484,1.0,1.1367,0.1668,1.045,"2026 #1 Tour de Suisse (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.476); 2026 #1 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.466)"
1,22 August 2026,Monaco,Monaco,itt,tt,2,HAYTER Ethan,ethan-hayter,0.64131,29.32,1,7,0.66,medium-high,inferred protected option,0.7865,0.53,0.0,0.9047,0.422,1.045,"2026 #2 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.427); 2026 #4 UAE Tour (2.UWT) (itt; field 528/155; ProfileScore 1, 101vm, 12.2km; adjusted 0.306)"
1,22 August 2026,Monaco,Monaco,itt,tt,3,VAN AERT Wout,wout-van-aert,0.58637,28.29,1,8,0.668,medium-high,inferred protected option,0.5806,0.5178,0.0,0.5915,0.0566,1.045,"2026 #1 S6 Stage 6 - Saint-Vulbas › Crest-Voland (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.415); 2026 #8 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.253)"
1,22 August 2026,Monaco,Monaco,itt,tt,4,FISHER-BLACK Finn,finn-fisher-black,0.57299,27.79,1,9,0.729,medium,inferred protected option,0.5044,0.4194,0.0,0.9717,0.3495,1.045,"2026 #1 UAE Tour (2.UWT) (itt; field-class proxy 0.88; ProfileScore 9, 341vm, 44.2km; adjusted 0.511); 2026 #2 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.347)"
1,22 August 2026,Monaco,Monaco,itt,tt,5,OLIVEIRA Ivo,ivo-emanuel-alves,0.55889,25.36,1,11,0.62,medium-high,inferred co-option,0.7323,0.4758,0.0,0.8297,0.3464,1.0,"2026 #3 Tour de Romandie (2.UWT) (itt; field 447/114; ProfileScore 9, 58vm, 3.2km; adjusted 0.310); 2026 #2 Sibiu Cycling Tour (2.1) (itt; field-class proxy 0.60; ITT marker on PCS result; adjusted 0.296)"
1,22 August 2026,Monaco,Monaco,itt,tt,6,TARLING Joshua,joshua-tarling,0.53494,25.42,2,10,0.804,medium,inferred protected option,0.4753,0.3408,0.1325,1.0932,0.5846,1.045,"2026 #1 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.428); 2026 #3 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.391)"
1,22 August 2026,Monaco,Monaco,itt,tt,7,THORNLEY Callum,callum-thornley,0.48256,23.04,2,12,0.646,medium-high,inferred co-option,0.5566,0.3726,0.0,0.7705,0.6557,1.0,"2026 #4 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.359); 2026 #3 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.318)"
1,22 August 2026,Monaco,Monaco,itt,tt,8,VINE Jay,jay-vine,0.47528,21.63,2,14,0.62,medium-high,inferred helper; tactics unconfirmed,0.6365,0.4852,0.0,0.5586,0.2591,0.94,"2025 #1 S11 Stage 11 - Bilbao › Bilbao (itt; field 872/189; ProfileScore 0, 122vm, 24.1km; adjusted 0.195); 2025 #4 Tour de Romandie (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.165)"
1,22 August 2026,Monaco,Monaco,itt,tt,9,LAPORTE Christophe,christophe-laporte,0.43418,20.25,3,15,0.572,medium-high,inferred co-option,0.3973,0.3646,0.0,0.3865,0.2137,1.0,"2026 #5 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.329); 2025 #3 S3 Stage 3 - Sittard › Watersley (itt; field-class proxy 0.51; ITT marker on PCS result; adjusted 0.104)"
1,22 August 2026,Monaco,Monaco,itt,tt,10,CHAMBERLAIN Oscar,oscar-chamberlain,0.41832,19.12,4,16,0.62,medium-high,inferred protected option,0.468,0.3003,0.0,0.5788,0.3523,1.045,"2026 #3 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.359); 2026 #7 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.276)"
