stage_no,date,route,profile_type,finish_type,distance_km,vertical_meters,expert_type,expert_status,expert_weight,predicted_finish,scorito_stage_points,rider,rider_slug,team,combined_score,pcs_model_rank,mountain_credibility,mountain_finish_factor,hilly_attrition_factor,conversion_factor,conversion_reason,expert_chat_signal,wielerflits_forum_signal,forum_opinion_share,blended_opinion_signal,expected_finish_band,confidence,uncertainty,role_assumption,news_decision,news_verification,news_title,evidence
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,1,50,POGAČAR Tadej,tadej-pogacar,UAE Team Emirates - XRG (WT),1.0,1,1.0,1.0,1.0,1.0,none,0.0977,0.0,0.3,0.0684,1-4,0.9,medium,inferred protected option,review_selection_and_lineup,corroborated_reports,"""This route is tailor-made for him"" - Footage shows Jonas Vingegaard complaining about Tadej Pogacar and Tour de France route design","2026 #1 Tour de Suisse (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.476); 2026 #1 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.466)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,2,44,HAYTER Ethan,ethan-hayter,Soudal Quick-Step (WT),0.874403,2,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,1-7,0.66,medium-high,inferred protected option,review_selection_and_lineup,corroborated_reports,"Hayter lijkt plannen Van Aert en Visma | LaB te verpesten, maar dan is daar Brennan die in Vuelta etappe 2 wint","2026 #2 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.427); 2026 #4 UAE Tour (2.UWT) (itt; field 528/155; ProfileScore 1, 101vm, 12.2km; adjusted 0.306)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,3,40,OLIVEIRA Ivo,ivo-emanuel-alves,UAE Team Emirates - XRG (WT),0.796605,5,1.0,1.0,1.0,1.0,none,0.1286,0.0,0.3,0.09,1-11,0.62,medium-high,inferred co-option,,,,"2026 #3 Tour de Romandie (2.UWT) (itt; field 447/114; ProfileScore 9, 58vm, 3.2km; adjusted 0.310); 2026 #2 Sibiu Cycling Tour (2.1) (itt; field-class proxy 0.60; ITT marker on PCS result; adjusted 0.296)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,4,36,TARLING Joshua,joshua-tarling,Netcompany INEOS (WT),0.794293,6,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,2-10,0.804,medium,inferred protected option,,,,"2026 #1 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.428); 2026 #3 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.391)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,5,32,THORNLEY Callum,callum-thornley,Red Bull - BORA - hansgrohe (WT),0.656498,7,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,2-12,0.646,medium-high,inferred co-option,,,,"2026 #4 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.359); 2026 #3 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.318)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,6,30,VAN AERT Wout,wout-van-aert,Team Visma | Lease a Bike (WT),0.649474,3,1.0,1.0,1.0,1.0,none,0.1108,0.4731,0.3,0.2195,1-8,0.668,medium-high,inferred protected option,monitor_only_no_automatic_upgrade,corroborated_reports,'It was quite planned' - Van Aert plays his part as Visma's plan delivers Brennan Vuelta victory,"2026 #1 S6 Stage 6 - Saint-Vulbas › Crest-Voland (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.415); 2026 #8 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.253)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,7,28,FISHER-BLACK Finn,finn-fisher-black,Red Bull - BORA - hansgrohe (WT),0.606634,4,1.0,1.0,1.0,1.0,none,0.0,0.2304,0.3,0.0691,1-9,0.729,medium,inferred protected option,,,,"2026 #1 UAE Tour (2.UWT) (itt; field-class proxy 0.88; ProfileScore 9, 341vm, 44.2km; adjusted 0.511); 2026 #2 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.347)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,8,26,SKJELMOSE Mattias,mattias-skjelmose-jensen,Lidl - Trek (WT),0.595085,13,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,8-18,0.74,medium,inferred protected option,,,,"2026 #3 Tour de France (2.UWT) (itt; field-class proxy 0.88; matched saved PCS/Scorito stage profile; adjusted 0.400); 2026 #4 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.348)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,9,24,KÜNG Stefan,stefan-kung,Tudor Pro Cycling Team (PRT),0.577904,12,1.0,1.0,1.0,1.0,none,0.0888,0.0,0.3,0.0622,7-17,0.662,medium-high,inferred protected option,,,,"2026 #1 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.379); 2026 #5 Volta ao Algarve em Bicicleta (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.236)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,10,22,ROMEO Iván,ivan-romeo,Movistar Team (WT),0.570621,11,1.0,1.0,1.0,1.0,none,0.5739,0.2134,0.3,0.4657,6-16,0.705,medium-high,inferred protected option,,,,"2026 #2 Volta Comunitat Valenciana (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.307); 2026 #4 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.292)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,11,20,VINE Jay,jay-vine,UAE Team Emirates - XRG (WT),0.526269,8,1.0,1.0,1.0,1.0,none,-0.0296,-0.1402,0.3,-0.0628,2-14,0.62,medium-high,inferred helper; tactics unconfirmed,,,,"2025 #1 S11 Stage 11 - Bilbao › Bilbao (itt; field 872/189; ProfileScore 0, 122vm, 24.1km; adjusted 0.195); 2025 #4 Tour de Romandie (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.165)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,12,18,ROGLIČ Primož,primoz-roglic,Red Bull - BORA - hansgrohe (WT),0.519909,21,1.0,1.0,1.0,1.0,none,0.0181,0.0,0.3,0.0127,15-27,0.62,medium-high,inferred helper; tactics unconfirmed,,,,2026 #4 Itzulia Basque Country (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.366); 2026 #7 Tirreno-Adriatico (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.282)
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,13,16,CHAMBERLAIN Oscar,oscar-chamberlain,Decathlon CMA CGM Team (WT),0.512755,10,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,4-16,0.62,medium-high,inferred protected option,,,,"2026 #3 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.359); 2026 #7 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.276)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,14,14,ALMEIDA João,joao-almeida,UAE Team Emirates - XRG (WT),0.488395,20,1.0,1.0,1.0,1.0,none,-0.0977,0.0,0.3,-0.0684,14-26,0.62,medium-high,inferred helper; tactics unconfirmed,,,,"2026 #9 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.207); 2025 #2 Tour de Romandie (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.196)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,15,12,LAPORTE Christophe,christophe-laporte,Team Visma | Lease a Bike (WT),0.479638,9,1.0,1.0,1.0,1.0,none,0.0982,0.186,0.3,0.1245,3-15,0.572,medium-high,inferred co-option,,,,"2026 #5 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.329); 2025 #3 S3 Stage 3 - Sittard › Watersley (itt; field-class proxy 0.51; ITT marker on PCS result; adjusted 0.104)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,16,10,ARMIRAIL Bruno,bruno-armirail,Team Visma | Lease a Bike (WT),0.451483,18,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,14-22,0.76,medium,inferred helper; tactics unconfirmed,,,,"2026 #1 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.452); 2026 #4 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.330)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,17,8,ONLEY Oscar,oscar-onley,Netcompany INEOS (WT),0.426092,23,1.0,1.0,1.0,1.0,none,0.1304,0.0,0.3,0.0913,18-28,0.659,medium-high,inferred co-option,,,,"2026 #1 S6 Stage 6 - Barbentane › Apt (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.391); 2026 #2 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.380)"
1,22 August 2026,Monaco -> Monaco,itt,tt,9.4,55,ITT,applied,0.15,18,6,KLUCKERS Arthur,arthur-kluckers,Tudor Pro Cycling Team (PRT),0.380367,14,1.0,1.0,1.0,1.0,none,0.0,0.0,0.3,0.0,8-20,0.62,medium-high,inferred co-option,,,,"2026 #5 UAE Tour (2.UWT) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.247); 2026 #6 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.245)"
